No.	Text	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD	Category
725	酒店只會對客人不好的點評做出辯駁，這樣的酒店還有生存知道嗎？難道堂堂掛六星的酒店（根本就不是國家旅遊局頒發的）就是以這樣真誠的態度回饋你們的客人嗎？其他的就可想而知了。	3.111	5.667	0.737	1.106	hotel
330	壓縮機使用電子可變開關控制	5.125	5.000	0.331	0.632	car
1948	營養不足，嚴重發育不良，3歲小孩骨瘦如柴，看來來像1歲多。	3.111	4.600	0.737	1.02	political
2962	AMD的7nm產品矩陣已經蔚然成形，雖然Intel仍舊慢半拍，但NVIDIA方面似乎不願再被動挨打了。	5.333	3.143	0.745	1.641	news
1856	陳揆強調，各部會所屬國營事業績效情形差異甚大，負擔的政策任務輕重也不同，應相對給予不同考量，包括考績與考成獎金是否重迭、同一機構內績效獎金差異及政策性因素的合理性等。	5.111	4.625	0.314	1.576	political
85	不愛的時候按個手機號碼都嫌費力。	3.375	5.286	0.484	0.452	book
357	呵呵~傻眼了阿~!!如果整天要怕死的怕自己開車去撞人的可以考慮前面幾位大大所推的!!本人只怕別人來撞我!!我希望前面某些人出車禍時.	3.889	5.333	0.875	1.491	car
991	國貨好幾年了，但是黑迷們始終認定人家是IBM的東西這一點倒是可以確定，技術上，無論硬體軟件	5.125	5.286	1.166	0.7	laptop
2404	不可避免的，這種模式容易出現騙局，雖然從業者都是精明人，但欺騙者通過長時間的正常交易獲得信任之後他們也可能會麻痺大意。	4.000	2.875	0.707	1.536	news
55	長恨歌，我想王琦瑤只是追求自己的幸福，從李主任時是青春追求名利，康明遜時追求的安穩的生活，老克臘追求的晚年孤獨的陪伴，只是她的追求都破滅了～我想如果程先生沒有在文革的時候自殺了，也許晚年的王琦瑤就會願意了吧，願意只有恩情而沒有愛情的陪伴了吧～很不錯的一本書～王安憶說過，她筆下的王琦瑤代表的是一座城市～值得一看哈～	6.111	4.750	0.994	1.199	book
1772	真的很簡單馬英九這輩子做過四件最惡毒的事情，第一件惡毒的事情選贏陳水扁，重點是讓他沒連任太惡毒了.	3.000	5.500	0.0	1.118	political
2363	任正非之女、華為前CFO孟晚舟被加拿大扣留，5G裝置在海外遭到美國及其盟國的地址，穀歌完整版安卓系統又禁止華為手機使用。	2.857	5.429	0.833	0.495	news
2714	一隻最新被發現的困在琥珀中的小千足蟲已經有9900萬年的歷史，這隻千足蟲在接近一億年前被困在緬甸，他被發現時依然處於白堊紀時期形成的琥珀中。	5.500	4.125	0.5	1.452	news
2600	要分享到網路上的照片或圖片，甚至是因應工作所需，必須將圖檔傳送給他人之前，最好都可以蓋上浮水印，除非你不介意別人隨意使用。	5.143	4.111	0.35	2.233	news
2496	民建聯議員陳克勤認為，民主派不擇手段阻止會議，即使召開法委會亦無法運作，若成立專責委員會，可以參加的議員不多，未必可行。	4.000	3.250	0.0	1.09	news
2131	這部奇幻背景電視劇的最新一集，在打敗夜王之後主角們聚在一起進行慶祝，但龍女王DaenerysTargaryen面前的桌子上卻不合時宜的出現了一個星巴克咖啡杯。	4.714	2.429	0.7	1.678	news
1966	北韓中央通訊社在報導中強調：包括北韓領導人金正恩和勞動黨、政權機構、以及社會團體，在春節之際，就前往平壤「萬壽臺」，向「金日成和金正日父子」的銅像前，獻花拜祭，表露了真情和忠誠。	6.111	4.250	0.875	1.09	political
1592	國營事業員工績效獎金，確定維持一.二個月上限，今年之內無法翻盤。	4.200	4.778	0.872	1.133	political
1483	老虎隊8局上攻勢再起，DelmonYoung先開轟幫助球隊擴大比數，下一棒JhonnyPeralta也揮出二壘安打上壘後，AvisailGarcia打出2人出局後的適時安打，老虎隊此局再下2分，形成4:0的領先優勢。	6.333	5.667	0.471	1.247	news
2822	天貓此款目前售價2209.01元，待6月1日0-2點下單立減551元，到手價1653元包郵，直降好價，預定有禮品，需要的值友可關注~	6.286	4.500	1.03	2.345	news
874	外觀不錯，很適合MM用。	6.400	5.778	0.49	0.629	laptop
2454	北韓領導人金正恩嚴厲批評美國前副總統拜登，美國總統川普今天加碼支援金正恩，並駁斥外界指稱他和獨裁者金正恩沆瀣一氣欺負自己同胞的負面批評。	3.750	5.875	0.661	1.053	news
1246	此番發言引起與會中方人士不滿，演講嘉賓之一的前中國國防大學戰略研究所所長潘振強迴應，穀內的發言「粗暴、狂妄，顛倒黑白、混淆是非」，讓他感到吃驚和悲哀。	3.286	5.625	0.452	0.857	news
1128	馬總統表示，新的1年，他心中有3個願望，希望經由他和全民共同努力，打拚出臺灣新氣象。	5.889	5.571	0.737	0.728	news
498	好吧講其中一個理由我認為一台1.6噸的車子油耗只有14KM/L	4.625	5.143	1.111	1.125	car
1065	除了國內最高榮譽，由德國專業航空機構AEROInternational每年透過德國權威數據評估中心（JACDEC），針對全球八百多家航空公司之飛行年數、近十年來重大意外事故件數統計，及近三十年來航機失事件數等基礎進行評比，甫於十八日出刊。	4.714	2.800	0.452	0.748	news
8	推薦給我的兒子、朋友們。	6.750	5.000	0.433	0.866	book
1909	劉耀仁指出，所有與直接執法無關的人員都不應領取罰鍰獎金，因此，明年共編列一億六千一百多萬元道安獎勵金預算，應刪除交通局所屬單位四千八百多萬元預算，交通大隊分食二十八％罰鍰獎金的內勤主管共三千一百多萬元也應刪除，如此一來，市庫將增加八千萬元收入。	5.889	3.857	0.875	0.833	political
455	Toyota剛好相反，第一批一定用料最好，後來才會慢慢Costdown。	4.875	4.000	0.781	0.926	car
2135	穀歌表示，透過ARCore動態追蹤、光線偵測和瞭解現實世界的能力，這四個傢夥於AR場景中的呈現將會十分逼真。	6.000	3.222	0.943	1.931	news
1912	替輸家出頭，只有造成社會動亂，大埔張老闆嗝屁了林家也拆了!贏家也被搞得不爽..更扯的是，他們還想將所有人帶到輸家那一方為什麼員警還不趕快將這兩人帶走，關到綠島去呀!跟有競爭力的贏家站在同一邊不是比較好嗎?	4.625	6.286	1.495	0.452	political
15	我們的生活中也需要激情，在小說當中會找到我們也曾有過的戀愛的感覺。	6.000	5.000	0.775	0.667	book
1533	回想成長過程，不管是生活方式、學校或工作，受到父母期望而下的決定不勝枚舉。	4.000	4.556	0.926	0.956	news
2159	為了修復不亞於Wannacry的RDP服務漏洞，微軟於今天面向包括XP在內的上述系統釋出了緊急修復補丁，要求使用者儘快完成安裝。	4.667	5.250	1.247	1.479	news
2022	但超輕薄筆電在方便攜帶與優異的電力續航的背後，通常也意味著因為機身更為緊湊，因此不得不犧牲掉筆電本身的擴充性。	4.000	3.000	0.0	1.491	news
2739	食環署人員今午以電擊方式撲殺，有動物保護團體到場抗議，質疑豬隻未被人道撲殺，又批評當局連日來與業界協商期間，沒有善待豬隻。	3.375	4.100	0.484	1.446	news
2952	不料2人心生歹念，聯合另外2名男子偽造哥哥是某公司董事長的假像，還偽造1張1億元的本票，想趁機詐騙自己的父親，最後詭計被識破。	3.111	4.375	0.737	0.992	news
1687	越南這是要玩死自己嗎？越南最主要的投資方來自中國大陸臺灣香港新加坡這些勞動密集型的產業最大的優勢就是工資低廉便於馴化這樣的暴動是明明要把自己搞死啊越南一直以來學習中共用“民族主義”來激勵人民現在這個民族民粹要害死越南人.	3.111	5.571	0.875	1.178	political
653	事後酒店方面承認防盜壓力很大，而且屢有客人失竊。	3.667	4.750	1.333	0.968	hotel
197	當我們看到別的孩子的優秀之處時，往往會很羨慕，有時還會忍不住責備孩子：“看人家”，可是我們有沒有想到他的媽媽在背後付出的努力。	4.222	5.625	1.03	0.484	book
981	東西不錯，烤漆面漂亮，機器運行穩定，速度快。	6.889	4.750	0.567	1.09	laptop
403	這篇文章跟福特有關係嗎？孤鴻海上來你真的很會硬凹捏各國強制安裝的安全配備，如同安全帶一般只有台灣政商牛步，還是說你跟他們有一腿？擁護T牌到這種程度，也真有你的畢竟花錢買Toyota的是別人，也不是你對吧？別人家的小孩死不完如果因為你一句話讓其他消費者對安全性有了錯誤的決定甚至間接導致未來事故的發生那業報是一輩子都還不完的	3.000	6.444	0.5	0.685	car
1211	另外，想送給父親的女性高達四十四．三％，讓日本老爸難得能在男友面前揚眉吐氣。	6.375	5.500	0.857	1.118	news
921	也請管量員不要刪了，給大家一個機會，大家好纔是真的好！	5.625	5.375	0.484	1.495	laptop
759	千萬小心使用。	5.125	5.833	0.331	1.067	hotel
2380	一個朋友和我說，自己也嘗試過單獨出國旅遊，但旅程中真的覺得很寂寞，完全不像想像中那樣豐富精采，懷疑是不是自己做錯了什麼？	3.333	3.444	0.667	1.165	news
946	人品還行，完美屏，內存三星，硬盤西數，螢幕也是三星的。	6.000	4.500	0.816	1.225	laptop
472	換個角度看有些冷門車的車主自以為很有品味很懂車那些人的車在別人眼裡可能比toyota更像垃圾	3.250	6.250	0.433	0.968	car
1206	您寫的太好了，讓人有興趣學會計。	6.667	4.667	0.943	1.054	news
2395	十一種口味可選，味道鮮美，適口性強，狗子愛吃~京東目前售價12.9元，下單3件，可參加買3免1，實付25.8元包郵，摺合8.6元/件，需要的值友可以入手~	5.625	3.500	0.484	1.323	news
2142	我們在做安全教育的過程中也發現有不少的老師認為倒立控水是對的，民間的辦法裡甚至還有對溺水者掐人中施救的。	5.000	3.750	0.577	2.107	news
79	看了一下，書的質量挺好的，裏面的圖畫也挺吸引小朋友的，都是小熊，小兔，小松鼠之類的小朋友都喜歡的小動物。	6.667	6.143	0.471	0.639	book
2390	iOS–AppStore連結Andoird–PlayStore連結不過遊戲現在限時免費，裡面還是有一些內購要素，不過免費也可以很爽玩～一樣強烈推薦大家！	6.857	7.571	0.639	0.904	news
2519	經歷了長時間的文藝為政治服務，人們驚歎於星星藝術家的自我表達，他們畫普通人的肖像，普通的風景，手法不太寫實。	5.000	4.167	0.707	1.067	news
1334	在創新發明的過程中，吳信達老師說，需要投入許多時間與精神，但是他感謝許多人的一路相伴與支持。	6.250	5.429	0.661	0.495	news
1637	FB上看到下面這段話，實在是令人毛骨悚然。	3.222	4.714	0.416	0.7	political
2374	代表律師今早在高院求情指，患精神分裂症的被告在港無親無故，唯一擁有的只是微小的?房單位，他卻長時間遭死者侮辱和欺淩，其處境值得同情。	3.250	5.429	0.433	0.495	news
890	裝個XP，結果好像是沒有安裝合適的驅動，所以打魔獸爭霸都卡的要命，打華碩售後服務，原來在官方就沒有針對XP的驅動，大部分都是VISTA下的驅動	3.375	4.667	0.484	0.745	laptop
2879	日本仙台市一名遭家暴的七歲男童，獨自跑到警局求救，警方發現他全身傷痕累累，發現他被狠心父親踹肚子，還被整個人壓著撞地板。	1.875	7.857	0.781	1.125	news
513	之前在汽車百貨看到這隻司柏奈)德國油在台分裝在特價188，想說俗俗買來用用看~起步輕快引擎聲變小但太黏尾速縮掉了還有清潔性不佳聽朋友介紹下~用了力豹仕~真的好用~拉轉力道猛爆~可惜油耗差了些跟其它牌10w40的機油比)後來看到倉庫賣的agip5w40~忍不住又想買來玩玩看~還蠻省油的~倉庫賣的比汽車百貨便宜好多~好賣家^^這幾隻油是我用過還不錯的~貼上來讓大家看一下	6.750	5.625	0.433	1.218	car
1260	網路上一隻小有名氣的柯基犬「卡內」，主人經常在BLOG分享願意讓狗進入的友善餐廳，但絕對會附上一張「告示」，宣導帶狗上餐廳的禮儀。	5.750	4.571	0.661	1.05	news
2916	畫框裡有時是綠色苔原，襯著冰山；下一分鐘，來到一片雪白大地，無邊無際；有時遍佈黑色的火山熔岩，還以為來到月球表...詳全文	5.375	3.875	0.484	2.26	news
1904	真是好笑，這種人口口聲聲說民主但是卻無法容忍跟自己想法相反的聲音八卦版也是，只要發一篇支持服貿或是批評這次學運的文，就會被貼上黨工或是抹黑的標籤，反之在那邊酸政府的人就酸的很開心。	2.750	7.125	0.433	1.053	political
549	酒店位置挺好，服務生態度很好，早餐很好。缺點:房間居然不能上網，酒店工程師說是swtich壞掉了，從下午到晚上11點都沒有修好，失望。	3.400	5.625	0.49	1.317	hotel
644	酒店大堂環境不錯358的房價還是物有所值，辦理入住很快很順利，讓我心情級差的是前臺結帳時服務員的傲慢和冷漠態度讓人不敢恭維！	3.000	6.500	0.0	0.707	hotel
2492	最直觀的演戲用力過猛就是把所有在表演中的情緒放大，比如說話語調提高，哭或者笑的表情幅度誇張，戲劇衝突的表演點在語言和肢體上過於猛烈。	4.778	3.778	0.629	1.812	news
217	目前小弟仍在茁壯的階段，我的服務一直都是積極的！	6.750	6.125	0.829	0.927	book
1390	有多少小孩子們用他們的生命和青春來成就貴公司，多少孩子們將他們的未來押注在你們所創造出的虛幻世界。	4.000	6.375	0.667	0.857	news
1021	臺灣電玩競賽隊伍臺北暗殺星TPA)在電玩大賽英雄聯盟世界錦標賽奪冠，電玩產業引起重視，教育部將在3個月之內提出優秀電競選手升學及獎學金相關辦法，激勵今16)日遊戲股全面大漲，擺脫近期低迷的悶氣，由華義3086-TW)領軍攻頂，其中昱泉6169-TW)、網龍3083-TW)隨後亮燈漲停，智冠5478-TW)、宇峻3546-TW)漲幅超過5%，辣椒4946-TW)、樂升3662-TW)、傳奇4994-TW)、歐買尬3687-TW)、鈊象3293-TW)及橘子6180-TW)也都有3%以上漲幅。	6.375	4.857	0.857	0.833	news
2882	哈哈哈哈哈哈哈哈笑死了，昆汀線上說牛B，還說自己現在不是牛B而是OldB，最後又突然冒出來一句傻B，他從哪兒學的這麼多！	5.750	6.000	1.392	0.926	news
161	我的確看得很過癮很開心！	7.125	6.250	0.331	0.968	book
2340	這款創新的織物鋰電池能量密度高達超過450瓦時/公升，柔軟度極佳，可摺疊彎曲至半徑小於1毫米，即使摺疊超過1000次，其效能仍然保持不變。	5.889	2.889	0.737	1.449	news
1941	她表示，施亞努太皇是中國人民忠誠的老朋友、好朋友，幾10年堅定奉行對華友好政策，並長期在中國生活居住，中國是施亞努太皇和我的第二故鄉，中方一直給予我們精心照料，施亞努太皇病發後，中方有關部門全力救治，我對此深表感謝。	6.889	6.167	0.567	0.687	political
2102	根據一些現任和前任蘋果員工的說法，蘋果零售店越來越注重品牌推廣而不是滿足購物者需求，導致消費者對一些商店提出更多投訴。	3.500	5.111	0.5	1.197	news
523	唉~又是一篇無聊的酸文！	3.222	5.500	0.416	1.323	car
1191	如果老師可以透過通報，讓學校強制對疑似可能有狀況的孩子鑑定，透過社工系統介入，纔是真正的保障學習權。	5.875	4.125	0.599	1.269	news
1385	高雄鳳山這場大火困住一家10口，3人自行逃出，還有7個人受困火場，就在11歲的小妹妹被救出時，一度出現找不到救護車的窘境，救護人員搶時間跑了200米，還好最後是巡邏車接力應急，這也引發救護車不夠的質疑，消防局表示，他們在第一時間出動了3輛救護車，比臺北市標準流程1輛還多，只是沒想到受困人數太多，一發現就緊急增派，順利將傷者送醫，並沒有延誤。	3.714	4.333	0.881	0.943	news
247	希望我能夠永遠有童心，永遠在夢神奧列傘的世界裏遨遊！	6.500	5.714	1.025	0.881	book
2419	假如你恰巧是品牌或通路的經營者，那殘忍的瞬間，代表原本屬於你的顧客被對手狠狠攔截，線上上與線下區隔日漸模糊的今天，這是大家正在面對的困擾。	3.875	5.286	0.781	1.161	news
2497	張建宗表示，希望部門首長對富爭議及重大課題，有充分掌握，尤其坊間眾說紛雲，會議純粹是解說、澄清並加深瞭解。	5.000	3.222	0.816	1.618	news
1597	績效獎金召開臨時會，但要求刪除「不再行處理」字樣，其餘皆依上週結論辦理。	4.889	4.286	0.314	1.161	political
2810	面對中國面板廠快速擴充產能，專家說，南韓面板廠轉型有機發光二極體面板，臺廠則固守液晶面板，鎖定迷你發光二極體背光源產品因應變局。	5.571	3.143	1.05	1.457	news
305	擺明仗著牛頭牌光環，仗著銷售量高這樣對的起你的支持著?	2.556	6.889	0.497	0.737	car
252	第三者，逝去的四年的時光留下的也不會是愛情，只是對於年少的懷念。	4.556	4.571	0.497	0.904	book
251	強烈推薦給不喜歡速食閱讀的朋友，推薦給追求認真做事的朋友讀，推薦對插畫有高要求的朋友。	5.875	4.250	0.781	1.199	book
2065	平心而論，Google有這項服務也許是一件好事...但不主動告知有這樣的功能導致容易造成使用者不必要的誤會。	4.000	4.222	0.781	1.199	news
813	心中對這家酒店的感覺一下就十分不好。	3.375	5.167	0.484	0.687	hotel
2439	日本和韓國長久而來因著戰爭和殖民歷史而有矛盾，雖然近年日本官方極力阻止軍國主義勢力抬頭，但民間仍然會出現這些聲音。	4.375	4.111	0.484	1.449	news
1521	王位同學來自單親家庭，由母親打零工維持家計，王位同學擔憂母親身體健康於是半工半讀幫忙負擔家計，勇於面對這一切拂逆之狀況，也成他獨立自主的個性。	5.333	4.000	0.943	1.5	news
2468	而更令玩家動心的是，G502Lightspeed支援LightsyncLED，能夠以酷炫的燈光來配合你的遊戲操作。	6.143	5.625	0.35	1.576	news
2590	一名在學術期刊等公共平臺發表了高達200多篇論文的日本麻醉醫師──藤井善隆，被抓到長期偽造資料，並有高達183篇論文遭到撤稿，且數量仍持續增加。	3.143	5.000	0.639	1.414	news
313	可以沾點光來提醒大家對安全配備的重視！	5.556	5.500	0.685	1.118	car
2357	因此，有任何男性讀者覺得精進學習兩性相處的智慧很重要時，我就會覺得你好棒，心態上已經領先大部分男性囉！	6.500	4.625	1.0	2.497	news
2855	雲林縣警局北港警分局土厝派出所所長陳連益、警員楊子誼，日前執行巡邏勤務時，在水林鄉水林路發現失竊贓車，遂依法予以攔查，清查後發現竊嫌另涉2起竊案。	4.429	4.429	1.05	1.294	news
320	我是2010年3月購入的，近一個月我的車也開始發現有冷氣開啟異味（酸味）問題，看來這問題並不是個案，和泰應該重視並給消費者一個滿意的說明和提出積極有效的解決方式，而不是任由保養廠以一些無效作法暫時安撫消費者，如無持續善意解決，恐又要演成集體消費糾紛事件了，相信亦非和泰公司所樂見。	3.000	5.833	0.0	0.687	car
1377	江嫌於地檢署復訊時，表情木訥，直說壓力很大，江妻在旁強調先生因照護母親和家庭壓力過大纔會鑄下大錯，事發後「家裏更需要他」，會陪他走出陰霾。	3.375	3.625	0.857	0.857	news
2152	從功能上，作為智慧手錶的GalaxyWatchActive的運動訓練模式非常豐富，足以滿足絕大多數使用者對於運動資料的監測需求。	6.222	3.556	0.416	1.165	news
2554	如果你問前幾年的我，我是一定會拒絕冥想這種活動的，畢竟坐在那兒一動不能動怎麼看都是一件無趣又無用的事。	5.000	3.300	0.667	1.616	news
1457	蘇震清抓蛇好本領從小練就一番徒手抓蛇的好功夫。	5.889	4.286	0.567	0.881	news
2794	一名蔡姓男子，因為前女友和現任女友之間有嫌隙，雙方派人相約談判，過程中一言不合，竟然就拿出刀棍當街亂鬥，三人被砍傷送醫。	3.000	5.300	0.707	1.187	news
1572	法國在過去兩週來對馬利北部的AQIM發動懲罰性空襲，AQIM是否有時間來策劃新一輪恐怖攻擊仍是未知數。	4.000	3.625	0.816	1.409	political
565	感到特別安全。	6.375	4.571	0.857	0.904	hotel
548	補充點評2008年4月15日：建議大家到日照時選擇其他酒店，祝大家在日照開心.	6.000	3.833	0.816	0.898	hotel
2023	Youtube主播Madmorda用Wii的主機板自己製作了一臺迷你NGC主機，可以真正實現遊戲功能。	6.125	3.778	0.331	1.812	news
696	您在入住酒店期間有不愉快的經歷，我們非常抱歉。	4.000	5.500	0.707	0.5	hotel
1811	先是破壞立法院再破壞行政院，然後喊革命，暴動被鎮壓就喊員警打人反對暴力；啊自己用暴力時就覺得自己很對很理性，被公權力鎮壓就說政府是野蠻人，真是快笑死人了LOL，有哪個國家的革命家還會不要臉得喊員警打人的？沒有當場槍斃內亂罪現行犯已經是非常仁慈了，有看過悲慘世界2012版)的應該都知道，革命失敗的下場可是當場就槍決的。	3.125	7.000	0.781	0.756	political
2315	先前也謠傳光陽可能會在近期發表較大功率、且Ionex電池比當前更大的電動車，或許此次的活動也將為傳聞中的光陽較大功率電動車的發表活動也不一定。	5.778	5.250	0.786	1.479	news
1181	家長在市場擺攤，工作很忙，小孩就放牛吃草，父母用錢打發小孩，有求必應，卻缺乏親情互動。	3.333	2.800	0.816	0.4	news
1230	如果自己是未成年學生，覺得要面對這些事情有些麻煩，真的不想要面對與處理這些問題，請男方不要當「小孬孬」，好好戴上套。	3.556	6.333	0.956	1.155	news
368	也不喜歡Toyota的設計和調性...所以我並不覺得Toyota很強大!	3.375	5.750	0.484	0.661	car
2017	她多謝媽媽眠乾睡濕照料，出院後調理身子要吃什麼就聽從媽媽吩咐，又感謝醫院醫護人員照顧、各方好友及聖心師妹們的關懷問候。	6.889	4.125	0.875	1.452	news
4	但我相信它會和我手中的這本書一樣溫馨美好。	6.375	5.143	0.484	0.833	book
219	我不希望大家都迷失在永無習日的數字遊戲中！	3.714	5.625	0.452	1.111	book
485	說白了只是各取最適合自己的車罷了我這樣也算正名嗎?	4.111	4.889	0.737	0.994	car
2734	警方指出，3位民眾疑似因拍照問題小孩打架引發大人爭吵，雖未影響小哥演出，但周遭觀眾被喧鬧聲驚擾影響，經工作人員處理下決定請員警處理。	3.400	5.556	0.49	1.066	news
2542	一名39歲的胡姓男子，疑似和65歲的父親發生衝突，一氣之下竟狂刺對方20刀致死，伴屍3天等到屍體發臭，再將其簡單包裹並載到溪洲橋下水圳棄屍。	2.000	7.000	0.775	0.866	news
1923	外交部今天表示，美國遭颶風侵襲，災區又受風雪襲擊，將捐130萬美元賑災；美國在臺協會（AIT）說，感謝臺灣慷慨捐助。	6.625	4.667	0.857	0.471	political
1436	兩人愛情趨向穩定，情變機率小。	5.667	3.875	0.667	1.053	news
1299	「英雄聯盟」遊戲去年首度舉辦世界錦標賽，總獎金高達二百萬美元，目前全球有數千萬玩家，臺灣也有上百萬玩家，主要是大學生，號稱每十個大學生就有一個玩過英雄聯盟。	5.667	5.286	0.816	0.7	news
1348	網友曾育暖表示，不能說心疼包子就代表主人沒錯...我想你們會希望自己痛苦的時候還有人一直在後面要求你握手甚至站起來嗎？；網友NanaSun說，天阿哭慘了...說包子生病了還是想撒嬌，你怎麼知道他是不是在求救？！	3.667	5.750	1.155	0.968	news
1489	臺北京站廣場同步收看直播的玩家緊盯螢幕，不時發出歡呼聲並拍手叫好，直呼：「好緊張！	6.375	5.625	1.111	1.996	news
2840	四月30日晚上十點左右，北屯區太原路發生一起交通事故，機車騎士即興轉彎，導致後方機車摔倒受傷，肇事騎士自稱行車中耳機聽音樂，所	3.333	4.000	0.667	1.563	news
2858	這是一支奇特的隊伍，他們整齊劃一乘車而來，顯得紀律嚴明、訓練有素，但他們乘坐的車輛卻是五花八門，有卡車、麵包車、拖斗車，甚至還有當地的警車。	5.375	4.333	0.484	1.247	news
342	是有一些不爽為什麼不撞我的舊車卻偏偏撞我的新車。	3.125	6.375	0.599	1.495	car
632	是商務旅行的理想選擇。	6.375	3.111	0.484	1.197	hotel
766	酒店大堂秩序比較亂。	3.556	4.200	0.497	0.748	hotel
205	我從很小的時候就非常喜歡讀書獨獨不喜歡歷史方面的書籍感覺她們太沉重，中國的歷史太讓我們這些赤子而憂心重重了	3.667	3.000	0.667	0.816	book
1044	而造成永難彌補的遺憾，竟是闖紅燈的民間救護車。	3.222	4.714	0.629	1.385	news
2453	本次升級主要是聊天訊息可多選後逐條轉發及合併轉發，聊天表情可多端漫遊，支援設定好友訊息免打擾，圖片檢視器優化升級。	6.444	3.556	0.956	1.95	news
642	不過也有好的方面：最近一次入住長話免費打，雖然我幾乎不打；早餐不貴，而且很多健康食品。	5.667	3.143	0.943	0.833	hotel
924	ubuntu系統應該更好，待嘗試	6.000	3.714	0.943	1.161	laptop
1813	我反對死刑的原因很簡單：就是無法降低犯罪率.	4.333	5.000	0.816	0.816	political
670	歡迎您再次入住，衷心祝您身體健康，工作順利!	6.714	4.167	0.452	0.898	hotel
2772	報導說，下個星期也不會出現好訊息，因為4月份的貿易赤字可能進一步擴大，消費者信心可能下降，家庭消費可能不溫不火。	3.333	5.375	0.667	1.111	news
406	這安全問題很像騎機車裡也常發生~安全帽與護具問題~戴全罩好還是瓜皮好~要穿護具不穿護具每個人都有自己答案~之前朋友也是大概這樣講~我慢慢騎就好沒必要戴全罩穿什護具笑死人~反正每人注重的點不一樣~有人會買就是會買~就顧好自己就好~重點只要遇過一次就知道有那些安全配備的好反正很多都是要花錢買經驗體驗就知道~	4.667	4.143	0.943	0.639	car
2859	民意直直下落的蔡英文愈詭辯妄言，愈暴露內心虛弱，一句執政者必須忍受孤獨，道出了這個孤獨政客在權力黃昏之際的心聲。	4.000	2.875	0.866	1.269	news
328	這是為了讓普通男孩、女孩有幻想的空間。	5.333	4.571	0.471	0.728	car
2008	當反同勢力不讓性平教育進入校園，學生已經自主吹起性別平等的風，舉辦板中男裙週、臺大男裙日，希望促成改變，共創性別友善的校園。	6.714	5.000	0.452	1.512	news
2823	桃園一名鍾姓男子穿著刑警背心，還配戴BB槍跟無線電，長期在釣蝦場裡滋事擾民，結果來了個真員警當場被識破，他邊發抖一邊辯稱只是在玩角色扮演！	3.857	4.667	0.833	1.247	news
1446	陳其邁指出，陸委會雖兩度發函給中國海協會表示抗議，也委託海基會董事長林中森當面向海協會長陳雲林表態，但對方先是以「趕時髦」敷衍，還正式回函說「抗議不成立」，顯示中國對臺灣的傲慢心態從未改變，儘管馬英九誇稱兩岸關係大躍進，中國依然是「誰理你們」。	3.375	5.571	0.696	1.178	news
2966	澳洲聯邦員警表示，警方在今天稍早搜索了澳洲廣播公司集團位於雪梨的總部，並鎖定3名參與兩年前一份調查報導的記者。	5.000	2.714	0.707	1.578	news
1843	推薦給每一個希望自己獨立和清醒的人。	5.667	4.125	0.471	0.927	political
1764	中國日報報導，政府控制的上海復旦大學國際研究中心教授沈丁立表示，黑格是位好的人選，「反對伊拉克戰爭」，是位「溫和且可敬的共和黨員」。	5.500	4.333	0.5	0.745	political
375	你果然沒常上01做功課，之前才有一篇專門討論天窗的優缺點的文章，其實車子這種東西，要買之前我都會考慮配備未來的加裝性...比如說，假設今天我不確定要不要買有天窗的車，那我會先加錢先買有天窗的車，原因很簡單，萬一買了車後，想要有天窗，我也不會後悔，但是萬一我沒買有天窗的車，以後有錢也加裝不了，但是萬一我不喜歡天窗，那也沒差，反正就把天窗隔板拉上，在車內看起來一樣跟沒天窗的車一樣...	4.000	5.625	0.0	1.111	car
988	有外接顯示屏的介面，SD插槽對我來說很有用。	5.875	4.000	0.927	0.756	laptop
1262	「卡內」是一隻5歲多的柯基犬，主人卡內拔經常替他拍照，而卡內麻就負責在BLOG撰文，分享帶狗兒子吃喝玩樂的生活點滴。	5.667	3.375	0.816	0.992	news
1469	最關心就是經濟，他要向大家報告，衰退了1年的世界經濟，已經慢慢露出復甦曙光，臺灣景氣也從去年第4季開始緩緩好轉。	6.600	5.714	0.49	0.452	news
1418	引發朝野關切電競選手未來，行政院長陳沖15日表示，經濟部可比照優秀體育選手服替代役方式來研擬。	5.250	3.143	0.433	0.99	news
1277	警方調查，吳宗憲等人昨天清晨五時許，到南京東路五段陳家涼麵用餐，因鄰桌三男兩女講話太大聲，引起吳宗憲的不滿，於是要其中一人到店外詢問究竟談些什麼？對方向吳表達不好意思，願意替吳宗憲等人埋單，以示歉意。	3.875	3.000	1.166	1.0	news
1800	黨報強力回擊，透露出總書記習近平主導強勢外交的味道。	5.286	4.429	0.452	0.904	political
254	明明是個比何適好一百倍的男人，明明是個比何適更加適合她的男人，步懷宇，讓人覺得可以依靠的成熟男人。	6.625	4.000	0.696	0.894	book
1848	能想像首都市長挺一個貪汙貪腐搞爛台灣還死不認錯的陳水扁?	2.714	6.143	0.452	0.833	political
785	"對客房服務員要進行培訓，當客人房門門鎖上掛了""請勿打擾""的字樣，希望不要再擅自進入客房，這是對客人的尊重."	4.889	5.000	0.994	1.118	hotel
