Text	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
誰就是那個低能兒	3.0	6.0	0.0	1.414
與那些寫快餐網文出名的所謂少年作家相比	4.0	7.0	1.0	0.0
也不會惡言相向	6.0	4.0	0.0	1.673
人生沒什麼後悔的事	6.667	2.0	0.471	0.816
本次萬安演習不會有手機警報	5.0	2.0	0.0	0.707
近年連學者都受牽連	2.5	4.25	1.118	1.92
產業要具有創新性	6.667	6.0	0.471	0.816
警方追截可疑私家車連開三槍	4.667	6.667	0.471	1.7
要是伊斯蘭教不是平和的宗教那這世界可了得	4.0	7.667	1.581	0.471
這種女生的心思本來就無足輕重	4.333	5.333	0.471	1.247
指揮孫臏和劉伯溫攻佔它總部網管中心	5.0	6.5	1.0	0.5
又或者跳出軀殼才能看到整體	4.5	3.5	0.5	1.5
可是上次見又覺得挺帥的	7.0	4.75	0.707	1.785
給錢也的確是她唯一的表達方式了	4.5	3.4	0.5	1.625
的態度很惹人生厭	3.0	6.5	0.0	0.5
將鑰匙託付給在新疆關押上百萬穆斯林維吾爾人卻毫無悔意的政權	2.6	5.75	0.49	1.09
我們試圖追蹤每天在全球範圍內的中國境外的每一筆交易	5.667	4.0	0.471	1.633
每個人都須要被寬恕	7.0	4.667	0.707	0.471
為中國企業赴美投資提供一個公平	6.0	4.25	0.0	0.829
導致事故有五導因	4.0	2.25	0.0	1.299
寧可花費巨資建造昂貴機艦	4.0	5.75	0.0	0.433
你是全世界最不齷齪的人	6.75	6.5	0.829	0.866
?自在菩薩行深般若波羅蜜多時照見五	5.333	1.333	0.471	0.471
總是非常滑稽且激烈的進行	4.8	7.5	0.98	0.5
雷歐弟弟能說話但就無法看見孩子們那裡我哭得肝腸寸斷	2.6	7.5	0.49	0.866
一賢人進則望治	7.333	6.0	0.471	0.0
亞里斯多德為何會如此輕率做出老鼠是腐草生出來的	4.333	6.333	0.471	0.943
於是熱衷於奔波	6.75	3.6	0.433	1.855
我們的國家安定團結	7.6	5.75	0.49	0.433
板中最近發起的男裙週因為在高中校園中還算是嶄新的活動	6.5	4.2	0.5	1.939
妨礙了我們瞭解人物以及人物的行為	3.75	4.6	0.433	0.49
讓人民慢慢失控	3.0	7.0	0.0	1.0
制止唔到架但係	4.0	6.0	0.0	0.0
要我寫也會束手無策	3.667	3.333	0.471	2.055
法輪功學員反迫害不也是維權運動嗎	5.0	6.25	0.894	0.829
如果大家都生活富足了	5.5	4.0	0.5	1.0
中美貿易戰的勝敗取決於時機	5.0	5.75	0.0	1.299
許多破敗的漁村與鄉鎮充滿了海洛因成癮者	2.6	5.5	0.49	1.118
睡眠質量下降等症狀並非疾病	5.667	4.0	0.943	2.16
他是一個多才多藝的人	6.333	5.0	0.471	0.816
所得稅生涯免除	6.5	2.8	0.5	1.6
機智的我跑到他們兩人面前	6.0	4.0	0.0	1.414
練習等待跟接受	5.667	3.5	0.471	1.118
如果你真的英明神武	4.333	6.0	0.471	0.0
衣服設計的很醜	3.333	6.333	0.471	0.943
貧道首創的捏蟲龍爪手	5.5	5.5	0.5	1.5
常常看到許多人把自己和伴侶的性生活	4.667	5.333	0.471	0.471
遭到委內瑞拉國防軍逮捕	3.333	5.0	0.471	1.633
你表現得太急切人家	4.0	6.4	0.0	0.49
我覺得應該是心跳之後除魔法以外	5.5	4.333	0.5	0.471
中共扣押你們還要管你們吃喝	3.5	5.75	0.5	0.433
隨即豆大的淚珠從我臉上滑落	3.5	5.0	0.5	2.0
母親為了孩子可以不顧一切	6.5	7.0	0.5	1.225
別覺得孩子受罪了	4.4	5.5	0.49	1.5
為了突顯自己的清高	3.667	6.333	0.471	0.943
原先的追訴權時效為30年	5.0	3.6	0.0	1.744
是人類歷史上絕無僅有的存在	6.333	6.667	0.471	2.055
常常聽到的古典制約之類的	5.0	4.667	0.0	0.471
壓迫與偏見的國際社會中	3.4	5.25	0.49	0.829
吃到最後一臉茫然	4.0	4.25	0.0	0.829
說著言不由衷的謊言	3.0	3.75	0.0	1.09
兩人都是力改之前政府多年沉珂弊病而務實的人	6.6	4.2	0.49	0.98
只是暫時為周恩來的替補罷了	4.0	5.25	0.0	0.433
依我說斷絕與中國	4.0	6.0	0.0	0.0
入貿協首肯照規	5.0	1.0	0.0	0.0
五毛你恬不知恥	3.0	5.25	0.0	1.299
你說全球糧食過剩	4.5	4.0	0.5	2.0
這樣的人怎能被小恩小惠收買	3.6	5.75	0.49	0.433
讓生活多了溫暖和明媚	7.0	5.667	0.0	0.471
坦誠地與美方交換意見	6.4	3.75	0.49	0.829
歡送臺華獎畢業生	6.6	5.5	0.49	1.118
我是看節目才知道男人很愚蠢	3.0	5.75	0.0	0.829
更不見有任何才智足堪替	3.6	4.25	0.49	1.299
肉身在國的你雖能深度解析卻難以盡情評論習及習團隊	3.5	5.5	0.5	0.5
